9	51	25	95	5991	8518	-8827	53.75	26.63	-81.17	0
9	51	30	170	11136	9660	-5318	6.14	-2.07	-0.4	0
9	51	35	113	11266	10804	-2241	2.69	-3.04	6.01	0
10	2	19	234	6719	11457	-9369	-3.69	4.7	-0.81	0
10	2	24	158	5666	11437	-9819	2.57	1.51	-1.93	0
10	2	29	127	6139	11197	-10143	3.29	2.26	-2.38	0
10	23	52	276	6820	13125	-6947	6.5	4.46	-4.59	0
10	23	57	123	6759	13360	-6092	4.39	-0.03	-4.44	0
10	24	3	89	7876	12386	-6227	5.92	-3.96	-1.63	0
10	34	42	72	11261	8853	-5285	4.44	-10.31	-18.21	0
10	34	47	483	12290	8935	-5385	0.04	4.84	-5.53	0
10	34	52	305	12591	8937	-4266	10.59	2.49	-4.77	0
10	57	41	81	4867	1701	-14849	-18.43	-12.32	-35.75	0
10	57	46	362	6099	2613	-15025	3.36	1.58	-3	0
10	57	51	159	5948	4018	-14512	3.75	4.22	-1.3	0
11	7	29	78	878	-2627	-5652	103.15	57.2	-160.2	0
11	7	34	403	5047	8806	-12408	2.26	-0.65	-9.44	0
11	7	39	181	4533	11492	-10476	5.81	-0.47	-3.12	0
11	18	13	81	13826	866	-18255	9.08	-124.14	-92.55	0
11	18	18	357	11422	7639	-8733	9.06	4.96	-12.11	0
11	18	23	161	12889	8957	-3888	4.8	1.17	-6.54	0
11	29	3	86	6642	13566	-7228	8.74	-0.37	6.64	0
11	29	8	507	6168	12310	-8449	1.25	4.9	-6.55	0
11	29	13	234	6092	12402	-8687	4.21	7.18	-0.43	0
11	39	37	85	4943	3479	-16030	-24.76	6.33	27.12	0
11	39	42	330	5195	914	-14593	3.99	2.25	-5.13	0
11	39	47	202	6953	5256	-14024	5.6	2.14	-4.69	0
11	50	11	83	11953	-3003	-10640	-1.67	-0.35	-7.24	0
11	50	16	346	7669	7173	-12356	9.15	-1.23	-4.06	0
11	50	21	162	6869	9333	-11084	4.33	3.69	-3.76	0
12	3	26	107	6367	7303	-13092	2.28	3.72	-2.96	0
12	3	31	115	6455	7113	-13096	1.6	1.63	-4.6	0
12	3	36	102	6230	7320	-13047	2.51	2.22	-4.66	0
12	12	24	86	12978	-9917	-18573	-51.42	-6.44	-228.42	0
12	12	29	440	4756	6982	-13993	5.92	3.3	-4.84	0
12	12	34	209	3901	8055	-13450	4.47	0.51	-3.12	0
12	22	58	92	6736	9961	-10765	17.06	6.71	-1.76	0
12	23	3	574	5381	9694	-11602	7.44	2.71	-4.57	0
12	23	8	261	5268	12140	-9619	4.28	2.84	-11.63	0
12	33	42	179	1000	11326	-11432	0.61	1.28	-1.41	1
12	33	48	569	2187	12106	-10777	4.19	3.02	-3.08	1
12	33	53	285	-1415	11911	-10966	8.23	1.91	-2.57	1
12	44	37	309	2842	11596	-10583	-16.69	11.03	-4.44	1
12	44	42	421	4337	12375	-9486	7.35	15.86	-11.92	1
12	44	47	211	5301	13012	-7746	3.07	7.19	-4.01	1
12	53	55	119	-2044	8081	-13600	-6.24	16.07	5.25	1
12	54	0	429	2627	8141	-13075	-3.59	-4.17	-12.69	1
12	54	5	436	2590	9392	-12650	-6.08	18.39	12.52	1
13	0	18	101	8594	6010	-12472	-5.89	-7.98	5.7	1
13	0	23	477	9097	4861	-12684	4.41	1.43	-5.11	1
13	0	28	231	5381	5195	-14404	5.3	3.3	-4.98	1
13	11	7	118	6503	6495	-15163	1.15	18.37	-0.36	1
13	11	12	405	3879	3934	-15641	5.25	1.68	-4.64	1
13	11	17	200	2014	3447	-15675	6.64	8.66	-2.06	1
